word,meaning
こぼれる,こぼれる<br>bị tràn
こぼす,こぼす<br>tràn
ふく,ふく<br>lau
片付く,かたづく<br>được dọn dẹp
片付ける,かたづける<br>dọn dẹp
包む,つつむ<br>bọc
張る,はる<br>dán
無くなる,なくなる<br>bị mất
無くす,なくす<br>mất
足りる,たりる<br>đủ
残る,のこる<br>bị thừa
残す,のこす<br>thừa
腐る,くさる<br>thối
むける,むける<br>bị lột
むく,むく<br>lột
滑る,すべる<br>trượt
積もる,つもる<br>được tích tụ
積む,"つむ<br>tích tụ, chất lại"
空く,あく<br>bị thủng
空ける,あける<br>thủng
下がる,さがる<br>bị giảm
下げる,さげる<br>giảm
冷える,ひえる<br>bị lạnh
冷やす,ひやす<br>làm lạnh
冷める,さめる<br>bị nguội
冷ます,さます<br>làm nguội
燃える,もえる<br>cháy
燃やす,もやす<br>đốt
沸く,わく<br>sôi
沸かす,わかす<br>đun sôi
鳴る,なる<br>kêu
鳴らす,ならす<br>làm kêu
役立つ,やくだつ<br>hữu ích
役立てる,やくだてる<br>được sử dụng
飾り,かざり<br>trang trí
遊び,あそび<br>chơi
集まり,あつまり<br>tập hợp
教え,おしえ<br>dạy
踊り,おどり<br>nhảy
思い,"おもい<br>suy nghĩ, cảm giác"
考え,"かんがえ<br>nghĩ, ý tưởng"
片づけ,かたづけ<br>ngăn nắp
手伝い,てつだい<br>giúp đỡ
働き,はたらき<br>hoạt động
決まり,きまり<br>luật lệ
騒ぎ,"さわぎ<br>ồn ào, om xòm"
知らせ,"しらせ<br>tin tức, thông báo"
頼み,たのみ<br>yêu cầu
疲れ,"つかれ<br>vất vả, mệt mỏi"
違い,ちがい<br>khác biệt
始め,はじめ<br>khởi đầu
続き,つづき<br>tiếp tục
暮れ,くれ<br>cuối năm
行き,いき<br>đi
帰り,かえり<br>trở về
急ぎ,"いそぎ<br>khẩn cấp, vội"
遅れ,おくれ<br>gián đoạn
貸し,かし<br>cho mượn
借り,かり<br>mượn
勝ち,かち<br>thắng
負け,まけ<br>thua
迎え,むかえ<br>đón
始まり,はじまり<br>bắt đầu
終わり,おわり<br>kết thúc
戻り,"もどり<br>trở về, trả lại"
別れ,わかれ<br>chia ly
喜び,よろこび<br>hớn hở
楽しみ,たのしみ<br>sung sướng
笑い,わらい<br>cười
驚き,おどろき<br>ngạc nhiên
怒り,いかり<br>giận dữ
悲しみ,かなしみ<br>buồn bã
幸せな,しあわせな<br>hạnh phúc
得意な,"とくいな<br>mạnh, giỏi"
苦手な,"にがてな<br>yếu, kém"
熱心な,"ねっしんな<br>chăm chỉ, nhiệt tình"
夢中な,むちゅうな<br>chú tâm
退屈な,たいくつな<br>chán
健康な,"けんこうな<br>khỏe khoắn, sức khỏe"
苦しい,くるしい<br>cực khổ
平気な,へいきな<br>bình thản
悔しい,くやしい<br>cay cú
うらやましい,うらやましい<br>ghen tỵ
かゆい,かゆい<br>ngứa
おとなしい,おとなしい<br>trầm lặng
我慢強い,がまんづよい<br>chịu đựng giỏi
正直な,しょうじきな<br>trung thực
けちな,けちな<br>kẹt xỉ
我儘な,わがままな<br>ích kỷ
積極的な,せっきょくてきな<br>tích cực
消極的な,しょうきょくてきな<br>tiêu cực
満足な,まんぞくな<br>thỏa mãn
不満な,ふまんな<br>bất mãn
不安な,ふあんな<br>bất an
大変な,"たいへんな<br>tồi tệ, vất vả"
無理な,むりな<br>vô lý
不注意な,ふちゅういな<br>không chú ý
楽な,らくな<br>thoải mái
面倒な,めんどうな<br>phiền phức
失礼な,しつれいな<br>thất lễ
当然な,とうぜんな<br>đương nhiên
意外な,いがいな<br>không ngờ đến
結構な,"けっこうな<br>tốt, đủ"
派手な,はでな<br>lòe loẹt
地味な,じみな<br>giản dị
おしゃれな,"おしゃれな<br>thời trang, mốt"
変な,へんな<br>lạ
不思議な,ふしぎな<br>thần bí
ましな,ましな<br>tốt lên
むだな,むだな<br>lãng phí
自由な,じゆうな<br>tự do
不自由な,"ふじゆうな<br>tàn tật, không tự do"
世話,せわ<br>chăm sóc
家庭,かてい<br>gia đình
協力,きょうりょく<br>hiệp lực
感謝,かんしゃ<br>cảm tạ
お礼,おれい<br>đáp lễ
お詫び,おわび<br>xin lỗi
おじぎ,おじぎ<br>cúi chào
握手,あくしゅ<br>bắt tay
いじわる,いじわる<br>xấu bụng
いたずら,いたずら<br>nghịch ngợm
節約,せつやく<br>tiết kiệm
経営,"けいえい<br>quản lý, kinh doanh"
反省,はんせい<br>tự kiểm tra
実行,じっこう<br>thực hành
進歩,しんぽ<br>tiến bộ
変化,"へんか<br>thay đổi, biến hóa"
発達,はったつ<br>phát triển
体力,たいりょく<br>thể lực
出場,しゅつじょう<br>tham dự
活躍,かつやく<br>hoạt động
競争,きょうそう<br>cạnh tranh
応援,おうえん<br>cổ vũ
拍手,はくしゅ<br>vỗ tay
人気,"にんき<br>được yêu thích, hâm mộ"
うわさ,うわさ<br>tin đồn
情報,じょうほう<br>thông tin
交換,こうかん<br>trao đổi
流行,りゅうこう<br>trào lưu
宣伝,せんでん<br>tuyên truyền
広告,こうこく<br>quảng cáo
注目,ちゅうもく<br>chú trọng
通訳,つうやく<br>thông dịch
